What is your age?,Which social media platform/s do you like the most or use the most?,Number of social medial do you use ?,How much time do you spend on social media in a day?,How much time do you spend on physical activities in a day?,How much do you feel that you are exposed to inappropriate content on these platforms (out of 10)?,Have you ever been a victim of any of these cyber crimes?,Which type of communication do you generally prefer?,Measurement Effect in human
19,"Youtube, Twitter, Instagram, Snapchat",4,upto 4 hrs,less than 1 hr,4,None of the above,face to face,High
18,Whatsapp,1,1 - 2.5 hrs,less than 1 hr,8,None of the above,face to face,High
20,Youtube,1,upto 4 hrs,less than 1 hr,4,None of the above,through phone,High
20,Facebook,1,1 - 2.5 hrs,1 - 2.5 hrs,1,None of the above,Text message,Low
19,Instagram,1,upto 4 hrs,upto 4 hrs,8,None of the above,face to face,High
18,"Whatsapp, Facebook, Youtube, Twitter, Instagram",5,upto 4 hrs,none,3,None of the above,"face to face, through phone, Text message, through social media",High
18,Instagram,1,more than 4 hrs,less than 1 hr,2,Fake profiles,face to face,High
20,"Whatsapp, Facebook, Youtube",3,1 - 2.5 hrs,less than 1 hr,6,Hacking,face to face,High
18,"Whatsapp, Youtube",2,1 - 2.5 hrs,1 - 2.5 hrs,4,None of the above,face to face,Low
19,"Whatsapp, Youtube, Instagram",3,1 - 2.5 hrs,1 - 2.5 hrs,6,None of the above,face to face,High
19,"Whatsapp, Facebook, Youtube, Instagram, Snapchat",5,more than 4 hrs,1 - 2.5 hrs,5,None of the above,face to face,High
19,"Whatsapp, Youtube, Instagram, Snapchat",4,1 - 2.5 hrs,less than 1 hr,4,Fake profiles,face to face,Low
19,Whatsapp,1,less than 1 hr,1 - 2.5 hrs,10,"Hacking, Fake profiles",Text message,High
19,"Whatsapp, Youtube",2,1 - 2.5 hrs,1 - 2.5 hrs,3,None of the above,"face to face, Text message",Low
19,"Whatsapp, Facebook, Youtube, Instagram",4,upto 4 hrs,less than 1 hr,4,Fake profiles,"face to face, through phone, Text message",High
20,"Whatsapp, Instagram, Snapchat, Hike, Tinder",5,upto 4 hrs,none,7,None of the above,"face to face, through phone",High
19,"Whatsapp, Facebook, Youtube, Instagram",4,more than 4 hrs,none,6,None of the above,through social media,High
20,"Whatsapp, Facebook, Youtube, Instagram",4,upto 4 hrs,1 - 2.5 hrs,5,None of the above,"face to face, through phone",High
19,"Whatsapp, Facebook, Youtube, Instagram, Tinder",,more than 4 hrs,1 - 2.5 hrs,4,None of the above,"face to face, through phone, Text message, through social media",High
20,"Whatsapp, Facebook, Youtube, Instagram, Snapchat",5,1 - 2.5 hrs,1 - 2.5 hrs,4,Fake profiles,Text message,Low
19,Instagram,1,less than 1 hr,1 - 2.5 hrs,8,None of the above,face to face,Low
19,"Whatsapp, Youtube, Twitter, Instagram",4,upto 4 hrs,less than 1 hr,3,Fake profiles,face to face,High
20,"Whatsapp, Facebook, Youtube, Instagram",4,upto 4 hrs,none,0,None of the above,through social media,High
19,"Whatsapp, Youtube, Snapchat",3,more than 4 hrs,none,1,None of the above,through phone,High
19,"Whatsapp, Facebook, Youtube, Twitter, Instagram",5,upto 4 hrs,more than 4 hrs,3,Fake profiles,"face to face, through phone, Text message, through social media",High
19,"Whatsapp, Youtube",2,upto 4 hrs,less than 1 hr,6,Photos being misused,face to face,High
19,"Whatsapp, Youtube, Instagram",3,less than 1 hr,1 - 2.5 hrs,6,None of the above,face to face,Low
15,"Facebook, Youtube",2,1 - 2.5 hrs,1 - 2.5 hrs,0,None of the above,"face to face, through phone",Low
20,Youtube,1,1 - 2.5 hrs,upto 4 hrs,0,Fake profiles,Text message,Low
18,Whatsapp,1,1 - 2.5 hrs,1 - 2.5 hrs,2,None of the above,face to face,Low
18,Facebook,1,1 - 2.5 hrs,less than 1 hr,2,None of the above,Text message,Low
19,"Whatsapp, Youtube, Instagram",3,upto 4 hrs,1 - 2.5 hrs,4,Fake profiles,"face to face, through phone",High
20,Instagram,1,1 - 2.5 hrs,upto 4 hrs,0,None of the above,face to face,Low
19,"Whatsapp, Facebook, Youtube, Instagram",4,1 - 2.5 hrs,less than 1 hr,3,Fake profiles,face to face,Low
19,Youtube,1,1 - 2.5 hrs,none,6,None of the above,Text message,High
19,Instagram,1,less than 1 hr,less than 1 hr,4,None of the above,face to face,Low
20,Whatsapp,1,less than 1 hr,less than 1 hr,0,None of the above,face to face,Low
18,Youtube,1,1 - 2.5 hrs,less than 1 hr,6,None of the above,Text message,Low
23,Youtube,1,1 - 2.5 hrs,more than 4 hrs,3,None of the above,face to face,Low
19,"Whatsapp, Instagram, Snapchat",3,more than 4 hrs,1 - 2.5 hrs,2,Fake profiles,Text message,High
18,"Whatsapp, Twitter, Instagram, Snapchat",5,1 - 2.5 hrs,1 - 2.5 hrs,3,"Hacking, Photos being misused, Fake profiles",face to face,Low
20,Whatsapp,1,1 - 2.5 hrs,less than 1 hr,5,Fake profiles,face to face,Low
19,"Whatsapp, Facebook, Youtube, Instagram, Hike",5,1 - 2.5 hrs,none,5,None of the above,"face to face, through social media",Low
18,Instagram,1,upto 4 hrs,1 - 2.5 hrs,10,None of the above,"through phone, through social media",High
18,Whatsapp,1,1 - 2.5 hrs,1 - 2.5 hrs,4,Hacking,through social media,Low
19,"Whatsapp, Youtube, Twitter",3,more than 4 hrs,less than 1 hr,3,None of the above,through social media,High
18,"Whatsapp, Youtube, Twitter",3,1 - 2.5 hrs,less than 1 hr,5,None of the above,"face to face, through phone, Text message",Low
